Site,County,FIPS,Sex,Rate_0011,SE_0011,Lower_0011,Upper_0011,Count_0011,Pop_0011,Rate_1222,SE_1222,Lower_1222,Upper_1222,Count_1222,Pop_1222,Dif_Rate,PC_Rate,Dif_Lower,PC_Lower,Dif_Upper,PC_Upper,Dif_Count,PC_Count,Dif_Pop,PC_Pop
All Sites,Adair County,19001,Both,136.5000,19.7000,100.7000,181.2000,50.0000,33083.0000,136.7000,22.8000,95.6000,189.4000,36.0000,26164.0000,0.2000,0.0015,-5.1000,-0.0506,8.2000,0.0453,-14.0000,-0.2800,-6919.0000,-0.2091
All Sites,Adams County,19003,Both,173.7000,30.4000,119.3000,245.6000,34.0000,17101.0000,234.2000,43.6000,156.6000,336.4000,29.0000,12630.0000,60.5000,0.3483,37.3000,0.3127,90.8000,0.3697,-5.0000,-0.1471,-4471.0000,-0.2614
All Sites,Allamakee County,19005,Both,160.0000,15.8000,130.5000,194.4000,104.0000,60458.0000,155.0000,18.0000,121.8000,194.5000,75.0000,48122.0000,-5.0000,-0.0313,-8.7000,-0.0667,0.1000,0.0005,-29.0000,-0.2788,-12336.0000,-0.2040
All Sites,Appanoose County,19007,Both,167.5000,16.6000,136.6000,203.5000,104.0000,56296.0000,138.7000,18.0000,105.7000,178.7000,60.0000,43079.0000,-28.8000,-0.1719,-30.9000,-0.2262,-24.8000,-0.1219,-44.0000,-0.4231,-13217.0000,-0.2348
All Sites,Audubon County,19009,Both,138.1000,23.0000,96.8000,191.9000,38.0000,24314.0000,126.1000,25.4000,81.4000,186.9000,25.0000,18820.0000,-12.0000,-0.0869,-15.4000,-0.1591,-5.0000,-0.0261,-13.0000,-0.3421,-5494.0000,-0.2260
All Sites,Benton County,19011,Both,174.1000,11.6000,152.1000,198.4000,231.0000,121240.0000,191.7000,13.9000,165.4000,221.1000,191.0000,96380.0000,17.6000,0.1011,13.3000,0.0874,22.7000,0.1144,-40.0000,-0.1732,-24860.0000,-0.2050
All Sites,Black Hawk County,19013,Both,167.5000,5.5000,157.0000,178.5000,972.0000,655754.0000,176.9000,6.1000,165.0000,189.3000,854.0000,596387.0000,9.4000,0.0561,8.0000,0.0510,10.8000,0.0605,-118.0000,-0.1214,-59367.0000,-0.0905
All Sites,Boone County,19015,Both,151.8000,10.9000,131.1000,174.8000,196.0000,122033.0000,161.9000,12.5000,138.4000,188.3000,169.0000,105657.0000,10.1000,0.0665,7.3000,0.0557,13.5000,0.0772,-27.0000,-0.1378,-16376.0000,-0.1342
All Sites,Bremer County,19017,Both,153.3000,12.0000,130.7000,178.7000,166.0000,107363.0000,173.2000,13.8000,147.3000,202.3000,159.0000,98281.0000,19.9000,0.1298,16.6000,0.1270,23.6000,0.1321,-7.0000,-0.0422,-9082.0000,-0.0846
All Sites,Buchanan County,19019,Both,152.8000,12.6000,129.1000,179.6000,149.0000,93090.0000,159.0000,14.4000,132.1000,189.8000,123.0000,77827.0000,6.2000,0.0406,3.0000,0.0232,10.2000,0.0568,-26.0000,-0.1745,-15263.0000,-0.1640
